AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
27	F	W	M	14.00	non	1	40	2	0	13
18	F	S	C	7.25	non	2	39	4	0	12
40	F	W	C	10.00	non	4	39	7	2	8
66	M	S	M	8.00	non	3	39	2	0	10
35	F	S	C	8.00	non	3	40	4	3	10
43	M	W	M	14.50	non	2	43	3	1	15
24	M	NE	C	11.00	non	2	42	5	0	16
28	F	NW	C	14.55	oui	2	42	4	2	6
30	F	S	M	7.25	non	4	40	4	2	11
17	F	W	C	9.00	non	3	37	3	0	16
43	F	NE	S	7.00	non	4	45	4	1	10
52	F	S	D	18.00	non	4	39	2	0	11
56	M	S	M	21.40	non	7	40	2	0	15
35	M	W	C	9.50	non	3	40	1	0	1
42	F	NE	M	14.65	non	5	43	4	2	12
29	F	S	M	16.83	non	5	44	4	1	16
58	F	S	M	9.00	non	3	43	3	0	6
28	M	S	M	22.11	non	2	45	2	0	11
60	M	NE	M	22.45	non	2	43	3	0	11
61	M	S	M	12.50	non	5	40	2	0	14
43	F	S	M	12.10	non	1	40	4	2	12
34	F	NW	C	8.00	non	4	39	2	0	4
44	M	S	M	28.40	non	8	40	2	0	13
55	M	S	M	13.81	non	8	39	2	0	14
50	M	S	M	13.25	non	2	40	2	0	13
67	F	S	D	16.00	non	3	43	2	0	12
35	M	S	D	8.50	non	3	40	2	0	7
30	F	NW	C	14.25	non	5	43	2	0	14
51	M	W	M	8.50	non	7	34	4	0	8
48	M	W	M	10.00	non	3	42	3	1	10
39	F	S	C	8.00	non	3	39	3	1	7
19	F	S	C	3.05	non	3	40	4	0	9
59	M	NE	M	30.67	oui	2	43	3	0	15
37	F	W	C	17.00	non	5	40	4	0	9
20	M	NE	C	7.75	non	3	40	2	0	10
65	F	W	D	16.00	oui	2	44	1	0	14
44	F	S	S	12.00	non	5	39	3	0	11
23	M	NW	S	25.00	non	9	39	3	0	14
60	F	W	M	28.00	oui	2	43	2	0	14
23	M	NW	C	15.00	non	2	43	3	0	13
19	F	NE	C	8.00	non	3	37	3	0	14
26	M	S	C	2.25	non	8	42	1	0	11
24	M	NW	C	18.00	non	3	43	3	0	14
55	F	NW	M	8.00	non	4	39	3	0	11
60	F	NW	M	11.25	oui	2	44	2	0	15
45	M	S	M	28.00	non	2	43	4	1	13
61	M	W	M	60.00	non	3	44	4	2	15
27	M	S	C	14.00	non	1	43	3	0	15
76	M	S	M	21.00	non	10	39	3	0	13
65	F	NW	M	16.00	oui	2	43	2	0	16
42	M	W	M	26.80	oui	7	33	5	3	13
56	M	NE	C	15.00	non	4	44	1	0	11
48	M	S	C	18.50	non	4	40	3	0	16
42	M	W	M	8.00	non	4	32	5	1	7
53	M	NW	D	62.00	non	2	43	2	0	15
43	F	NW	M	40.00	oui	2	42	3	1	12
53	F	W	C	15.00	non	5	44	3	0	13
55	M	S	M	37.00	oui	8	40	3	0	15
35	F	NW	C	22.00	non	2	43	2	0	11
64	F	S	M	20.00	non	2	40	2	0	11
42	F	W	C	11.20	non	3	39	2	0	8
39	M	S	D	30.00	non	1	39	8	2	16
51	M	NW	D	23.00	non	7	40	1	0	8
19	F	S	C	7.25	non	2	40	4	0	16
44	M	W	M	10.00	non	6	34	7	4	11
34	M	NW	M	17.80	non	1	39	4	2	14
39	F	S	M	55.00	non	2	43	2	0	16
25	M	W	C	24.00	non	7	42	2	0	13
47	M	NE	M	18.00	non	10	39	3	0	16
36	F	S	M	21.50	non	5	43	4	2	14
56	F	W	M	35.00	non	2	44	4	2	12
49	F	S	M	30.00	non	1	39	3	1	12
21	M	W	C	10.00	non	3	42	8	0	15
46	F	S	M	12.00	oui	3	43	3	1	12
56	M	S	M	17.00	non	9	39	2	0	12
31	F	W	M	10.50	non	3	39	5	2	12
40	F	NE	S	12.50	non	5	39	1	0	8
27	M	NW	C	17.50	non	9	40	2	0	13
31	M	NE	M	23.92	non	2	43	2	0	15
25	M	S	M	45.00	non	1	43	2	0	15
52	M	W	M	15.23	oui	10	43	7	0	13
23	M	W	C	12.00	non	7	39	1	0	6
41	F	S	M	13.00	non	3	33	3	0	7
39	F	NW	C	17.70	non	2	43	3	0	11
37	F	NW	C	28.00	non	2	43	4	0	13
33	M	NE	M	18.45	oui	4	41	4	2	13
33	F	S	D	25.00	non	2	41	2	1	11
61	F	S	C	29.00	oui	2	39	1	0	7
52	F	NW	M	10.50	non	9	39	4	1	13
23	F	NE	C	9.25	non	4	40	5	0	10
27	F	NE	C	15.54	non	4	40	3	1	14
55	F	NE	M	11.24	non	5	40	2	0	14
50	F	S	C	8.50	non	4	38	3	0	4
27	F	S	C	15.00	non	2	40	2	0	11
65	F	NW	M	14.00	non	5	43	2	0	12
62	F	NW	D	14.29	oui	3	39	1	0	10
29	M	S	M	12.00	non	5	43	2	0	14
49	F	NW	M	15.00	non	5	42	2	0	15
21	F	S	C	2.50	non	3	39	2	0	11
50	M	S	V	10.00	non	8	40	1	0	8
47	F	NW	M	14.00	non	3	39	5	1	15
40	M	W	M	14.24	non	10	40	2	0	14
21	M	S	C	9.00	non	3	40	6	0	8
40	F	W	M	9.25	non	3	39	4	1	10
38	M	W	M	12.15	non	10	39	6	0	1
47	M	S	M	10.00	non	9	39	6	2	7
57	M	S	C	19.00	non	9	40	4	1	14
63	M	NW	M	25.72	oui	8	39	2	0	12
